id,region,category,parameter,mode,powertrain,year,unit,value
293,Italy,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1700
294,Italy,Historical,EV charging points,EV,Publicly available fast,2016,charging points,170
295,Italy,Historical,EV charging points,EV,Publicly available slow,2016,charging points,2300
296,Italy,Historical,EV charging points,EV,Publicly available fast,2017,charging points,390
297,Italy,Historical,EV charging points,EV,Publicly available slow,2017,charging points,2400
298,Italy,Historical,EV charging points,EV,Publicly available fast,2018,charging points,570
299,Italy,Historical,EV charging points,EV,Publicly available slow,2018,charging points,2900
300,Italy,Historical,EV charging points,EV,Publicly available fast,2019,charging points,860
301,Italy,Historical,EV charging points,EV,Publicly available slow,2019,charging points,8300
302,Italy,Historical,EV charging points,EV,Publicly available fast,2020,charging points,1200
303,Italy,Historical,EV charging points,EV,Publicly available slow,2020,charging points,12000
304,Italy,Historical,EV charging points,EV,Publicly available fast,2021,charging points,2200
305,Italy,Historical,EV charging points,EV,Publicly available slow,2021,charging points,20000
306,Italy,Historical,EV charging points,EV,Publicly available fast,2022,charging points,6500
307,Italy,Historical,EV charging points,EV,Publicly available slow,2022,charging points,31000
308,Japan,Historical,EV charging points,EV,Publicly available fast,2010,charging points,310
309,Japan,Historical,EV charging points,EV,Publicly available fast,2011,charging points,800
310,Japan,Historical,EV charging points,EV,Publicly available fast,2012,charging points,1400
311,Japan,Historical,EV charging points,EV,Publicly available fast,2013,charging points,1800
312,Japan,Historical,EV charging points,EV,Publicly available fast,2014,charging points,2900
313,Japan,Historical,EV charging points,EV,Publicly available slow,2014,charging points,8600
314,Japan,Historical,EV charging points,EV,Publicly available fast,2015,charging points,6000
315,Japan,Historical,EV charging points,EV,Publicly available slow,2015,charging points,16000
316,Japan,Historical,EV charging points,EV,Publicly available fast,2016,charging points,7100
317,Japan,Historical,EV charging points,EV,Publicly available slow,2016,charging points,17000
318,Japan,Historical,EV charging points,EV,Publicly available fast,2017,charging points,7300
319,Japan,Historical,EV charging points,EV,Publicly available slow,2017,charging points,22000
320,Japan,Historical,EV charging points,EV,Publicly available fast,2018,charging points,7700
321,Japan,Historical,EV charging points,EV,Publicly available slow,2018,charging points,22000
322,Japan,Historical,EV charging points,EV,Publicly available fast,2019,charging points,7900
323,Japan,Historical,EV charging points,EV,Publicly available slow,2019,charging points,23000
324,Japan,Historical,EV charging points,EV,Publicly available fast,2020,charging points,7900
325,Japan,Historical,EV charging points,EV,Publicly available slow,2020,charging points,22000
326,Japan,Historical,EV charging points,EV,Publicly available fast,2021,charging points,8000
327,Japan,Historical,EV charging points,EV,Publicly available slow,2021,charging points,21000
328,Japan,Historical,EV charging points,EV,Publicly available fast,2022,charging points,8400
329,Japan,Historical,EV charging points,EV,Publicly available slow,2022,charging points,21000
330,Korea,Historical,EV charging points,EV,Publicly available fast,2016,charging points,920
331,Korea,Historical,EV charging points,EV,Publicly available slow,2016,charging points,1100
332,Korea,Historical,EV charging points,EV,Publicly available fast,2017,charging points,3300
333,Korea,Historical,EV charging points,EV,Publicly available slow,2017,charging points,10000
334,Korea,Historical,EV charging points,EV,Publicly available fast,2018,charging points,5200
335,Korea,Historical,EV charging points,EV,Publicly available slow,2018,charging points,22000
336,Korea,Historical,EV charging points,EV,Publicly available fast,2019,charging points,7400
337,Korea,Historical,EV charging points,EV,Publicly available slow,2019,charging points,37000
338,Korea,Historical,EV charging points,EV,Publicly available fast,2020,charging points,9800
339,Korea,Historical,EV charging points,EV,Publicly available slow,2020,charging points,37000
340,Korea,Historical,EV charging points,EV,Publicly available fast,2021,charging points,15000
341,Korea,Historical,EV charging points,EV,Publicly available slow,2021,charging points,92000
342,Korea,Historical,EV charging points,EV,Publicly available fast,2022,charging points,21000
343,Korea,Historical,EV charging points,EV,Publicly available slow,2022,charging points,180000
344,Mexico,Historical,EV charging points,EV,Publicly available slow,2015,charging points,83
345,Mexico,Historical,EV charging points,EV,Publicly available fast,2016,charging points,6
346,Mexico,Historical,EV charging points,EV,Publicly available slow,2016,charging points,240
347,Mexico,Historical,EV charging points,EV,Publicly available fast,2017,charging points,50
348,Mexico,Historical,EV charging points,EV,Publicly available slow,2017,charging points,700
349,Mexico,Historical,EV charging points,EV,Publicly available fast,2018,charging points,76
350,Mexico,Historical,EV charging points,EV,Publicly available slow,2018,charging points,1100
351,Mexico,Historical,EV charging points,EV,Publicly available fast,2019,charging points,76
352,Mexico,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1100
353,Mexico,Historical,EV charging points,EV,Publicly available fast,2020,charging points,76
354,Mexico,Historical,EV charging points,EV,Publicly available slow,2020,charging points,1100
355,Mexico,Historical,EV charging points,EV,Publicly available fast,2021,charging points,76
356,Mexico,Historical,EV charging points,EV,Publicly available slow,2021,charging points,1100
357,Mexico,Historical,EV charging points,EV,Publicly available fast,2022,charging points,76
358,Mexico,Historical,EV charging points,EV,Publicly available slow,2022,charging points,2000
359,Netherlands,Historical,EV charging points,EV,Publicly available slow,2010,charging points,400
360,Netherlands,Historical,EV charging points,EV,Publicly available slow,2011,charging points,400
