country_id,region,category,parameter,mode,powertrain,year,unit,value
321,Greece,Historical,EV sales,Cars,BEV,2013,Vehicles,3
322,Greece,Historical,EV stock,Cars,BEV,2013,Vehicles,3
323,Greece,Historical,EV stock,Cars,BEV,2014,Vehicles,42
324,Greece,Historical,EV sales,Cars,BEV,2014,Vehicles,39
325,Greece,Historical,EV sales,Cars,BEV,2015,Vehicles,35
326,Greece,Historical,EV stock,Cars,BEV,2015,Vehicles,97
327,Greece,Historical,EV stock,Cars,BEV,2016,Vehicles,140
328,Greece,Historical,EV sales,Cars,BEV,2016,Vehicles,41
329,Greece,Historical,EV sales,Cars,BEV,2017,Vehicles,50
330,Greece,Historical,EV stock,Cars,BEV,2017,Vehicles,190
331,Greece,Historical,EV stock,Cars,BEV,2018,Vehicles,280
332,Greece,Historical,EV sales,Cars,BEV,2018,Vehicles,88
333,Greece,Historical,EV sales,Cars,BEV,2019,Vehicles,190
334,Greece,Historical,EV stock,Cars,BEV,2019,Vehicles,470
335,Greece,Historical,EV stock,Cars,BEV,2020,Vehicles,1100
336,Greece,Historical,EV sales,Cars,BEV,2020,Vehicles,680
337,Greece,Historical,EV sales,Cars,BEV,2021,Vehicles,2200
338,Greece,Historical,EV stock,Cars,BEV,2021,Vehicles,3300
339,Greece,Historical,EV stock,Cars,BEV,2022,Vehicles,7400
340,Greece,Historical,EV sales,Cars,BEV,2022,Vehicles,2800
341,Iceland,Historical,EV stock,Cars,BEV,2010,Vehicles,14
342,Iceland,Historical,EV stock,Cars,BEV,2011,Vehicles,14
343,Iceland,Historical,EV stock,Cars,BEV,2012,Vehicles,31
344,Iceland,Historical,EV sales,Cars,BEV,2012,Vehicles,17
345,Iceland,Historical,EV sales,Cars,BEV,2013,Vehicles,80
346,Iceland,Historical,EV stock,Cars,BEV,2013,Vehicles,110
347,Iceland,Historical,EV stock,Cars,BEV,2014,Vehicles,300
348,Iceland,Historical,EV sales,Cars,BEV,2014,Vehicles,200
349,Iceland,Historical,EV sales,Cars,BEV,2015,Vehicles,390
350,Iceland,Historical,EV stock,Cars,BEV,2015,Vehicles,690
351,Iceland,Historical,EV stock,Cars,BEV,2016,Vehicles,1100
352,Iceland,Historical,EV sales,Cars,BEV,2016,Vehicles,380
353,Iceland,Historical,EV sales,Cars,BEV,2017,Vehicles,850
354,Iceland,Historical,EV stock,Cars,BEV,2017,Vehicles,1900
355,Iceland,Historical,EV stock,Cars,BEV,2018,Vehicles,2700
356,Iceland,Historical,EV sales,Cars,BEV,2018,Vehicles,780
357,Iceland,Historical,EV sales,Cars,BEV,2019,Vehicles,910
358,Iceland,Historical,EV stock,Cars,BEV,2019,Vehicles,3700
359,Iceland,Historical,EV stock,Cars,BEV,2020,Vehicles,6300
360,Iceland,Historical,EV sales,Cars,BEV,2020,Vehicles,2600
361,Iceland,Historical,EV sales,Cars,BEV,2021,Vehicles,4300
362,Iceland,Historical,EV stock,Cars,BEV,2021,Vehicles,11000
363,Iceland,Historical,EV stock,Cars,BEV,2022,Vehicles,18000
364,Iceland,Historical,EV sales,Cars,BEV,2022,Vehicles,6900
365,India,Historical,EV stock,Cars,BEV,2010,Vehicles,880
366,India,Historical,EV sales,Cars,BEV,2010,Vehicles,450
367,India,Historical,EV stock,Cars,BEV,2011,Vehicles,1300
368,India,Historical,EV sales,Cars,BEV,2011,Vehicles,1400
369,India,Historical,EV sales,Cars,BEV,2012,Vehicles,190
370,India,Historical,EV stock,Cars,BEV,2012,Vehicles,2800
371,India,Historical,EV stock,Cars,BEV,2013,Vehicles,2900
372,India,Historical,EV sales,Cars,BEV,2013,Vehicles,410
373,India,Historical,EV sales,Cars,BEV,2014,Vehicles,1000
374,India,Historical,EV stock,Cars,BEV,2014,Vehicles,3400
375,India,Historical,EV stock,Cars,BEV,2015,Vehicles,4400
376,India,Historical,EV sales,Cars,BEV,2015,Vehicles,450
377,India,Historical,EV sales,Cars,BEV,2016,Vehicles,730
378,India,Historical,EV stock,Cars,BEV,2016,Vehicles,4800
379,India,Historical,EV stock,Cars,BEV,2017,Vehicles,7000
380,India,Historical,EV sales,Cars,BEV,2017,Vehicles,920
381,India,Historical,EV sales,Cars,BEV,2018,Vehicles,920
382,India,Historical,EV stock,Cars,BEV,2018,Vehicles,7900
383,India,Historical,EV stock,Cars,BEV,2019,Vehicles,8600
384,India,Historical,EV sales,Cars,BEV,2019,Vehicles,680
385,India,Historical,EV sales,Cars,BEV,2020,Vehicles,3100
386,India,Historical,EV stock,Cars,BEV,2020,Vehicles,12000
387,India,Historical,EV stock,Cars,BEV,2021,Vehicles,23000
388,India,Historical,EV sales,Cars,BEV,2021,Vehicles,12000
389,India,Historical,EV sales,Cars,BEV,2022,Vehicles,48000
390,India,Historical,EV stock,Cars,BEV,2022,Vehicles,72000
391,Israel,Historical,EV stock,Cars,BEV,2010,Vehicles,6
392,Israel,Historical,EV stock,Cars,BEV,2011,Vehicles,85
393,Israel,Historical,EV sales,Cars,BEV,2011,Vehicles,3
394,Israel,Historical,EV sales,Cars,BEV,2012,Vehicles,600
395,Israel,Historical,EV stock,Cars,BEV,2012,Vehicles,610
396,Israel,Historical,EV stock,Cars,BEV,2013,Vehicles,1000
397,Israel,Historical,EV sales,Cars,BEV,2013,Vehicles,460
398,Israel,Historical,EV sales,Cars,BEV,2014,Vehicles,6
399,Israel,Historical,EV stock,Cars,BEV,2014,Vehicles,1200
400,Israel,Historical,EV stock,Cars,BEV,2015,Vehicles,1200
401,Israel,Historical,EV sales,Cars,BEV,2015,Vehicles,3
